case_id,event_title,gold_theme,wrong_subject_key,wrong_theme_name,source_profile_version,evidence_summary,hit_terms,hit_term_roles,root_cause,fix_action
pm_case_0036,2025年12月25日，据报道，白宫考虑将部分联邦野生动物保护用地划拨给SpaceX用于扩建火箭发射与生产基地,SpaceX,9060949,9060949,v1_fallback,"{""anchor_terms"": [""火箭发射"", ""SpaceX""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""火箭发射""], ""subject_name_hits"": []}","[""火箭发射"", ""SpaceX""]",{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0037,2025年12月25日，据美国《空天部队》杂志网站12月19日报道，美国太空军下属的太空发展局当天宣布，向4家公司授予价值35亿美元的合同，用于采购总共72颗导,SpaceX,9030207,导弹,v1_fallback,{},[],{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0040,"2025年12月7日,针对商业航天龙头SpaceX“冲击8000亿美元估值，并瞄准明年IPO”的最新传闻，世界首富马斯克在北京时间周日凌晨公开回应",SpaceX,9060949,9060949,v1_fallback,{},[],{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0044,特朗普旗下的媒体企业——特朗普媒体与科技集团，同意以全股票交易方式与核聚变能源企业TAE科技公司合并，交易总价值超60亿美元,可控核聚变,9054404,A股全球第一,v1_fallback,{},[],{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0061,据央视新闻报道，当地时间10月30日中午，国家主席在韩国釜山同美国总统特朗普举行会晤,稀土永磁,9048607,中美芬太尼合作,v1_fallback,{},[],{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0061,据央视新闻报道，当地时间10月30日中午，国家主席在韩国釜山同美国总统特朗普举行会晤,稀土永磁,9042899,芬太尼,v1_fallback,"{""anchor_terms"": [""芬太尼""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""芬太尼""], ""subject_name_hits"": [""芬太尼""]}","[""芬太尼""]",{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0075,据百川盈孚，因下游PCB行业需求持续增长，国内光引发剂多种牌号价格走高,光刻胶,9018144,PCB印制电路板,v1_fallback,{},[],{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0079,12月26日7时26分，我国在海南商业航天发射场使用长征八号甲运载火箭，成功将卫星互联网低轨17组卫星发射升空，卫星顺利进入预定轨道，发射任务获得圆满成功,卫星互联,9060949,9060949,v1_fallback,"{""anchor_terms"": [""卫星互联网"", ""商业航天""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""卫星互联网""], ""subject_name_hits"": []}","[""卫星互联网"", ""商业航天""]",{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0080,中国航天今年已完成近90次发射，刷新历史纪录，其中商业发射占比显著提升,卫星互联,9011782,一带一路,v1_fallback,{},[],{},broad_policy_profile,add_broad_policy_boundary_and_require_real_bri_anchor
pm_case_0081,蓝箭航天副总裁张静茹告诉《科创板日报》记者，蓝箭航天供应链600余家供应商覆盖全国90余城，民企占比近70%、国企30%,卫星互联,9062142,蓝箭航天IPO,v1_fallback,{},[],{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0083,12月3日中午，朱雀三号遥一运载火箭在东风商业航天创新试验区发射升空，按程序完成了飞行任务，火箭二级进入预定轨道，火箭一子级回收失败,卫星互联,9062142,蓝箭航天IPO,v1_fallback,{},[],{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0085,据国家航天局消息，该局已于近期设立商业航天司，相关业务正在逐步开展，标志着我国商业航天产业迎来专职监管机构（新闻来源：央视新闻）,卫星互联,9063080,太空旅游,v1_fallback,{},[],{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0086,“智绘星空 胜算在天——太空数据中心建设工作推进会”召开，推进会由北京市科委、中关村管委会等单位组织召开,卫星互联,9037857,数据中心,v1_fallback,"{""anchor_terms"": [""数据中心""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""数据中心""], ""subject_name_hits"": [""数据中心""]}","[""数据中心""]",{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0087,北京蓝箭航天朱雀三号运载火箭首飞计划已进入最后准备阶段，计划于本周六即11月29日首飞,卫星互联,9062142,蓝箭航天IPO,v1_fallback,{},[],{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0088,英伟达首席财务官表示，数据中心芯片需求较此前预测的5000亿美元有所增长,液冷数据中心,9014001,人工智能硬件,v1_fallback,{},[],{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0088,英伟达首席财务官表示，数据中心芯片需求较此前预测的5000亿美元有所增长,液冷数据中心,9015778,存储芯片,v1_fallback,"{""anchor_terms"": [""存储芯片""], ""support_terms"": [""存储芯片""], ""conflict_terms"": [], ""theme_name_hits"": [""存储芯片""], ""subject_name_hits"": [""存储芯片""]}","[""存储芯片""]",{},profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0089,考虑TPUv7出货量及单机柜液冷价值量等，根据东方证券测算，预计2026年谷歌服务器液冷市场规模约为180亿元左右，较2025年大幅提升（新闻来源：新浪财经）,液冷数据中心,9016841,证券,v1_fallback,"{""anchor_terms"": [""证券""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""证券""], ""subject_name_hits"": [""证券""]}","[""证券""]",{},source_org_as_anchor,add_source_org_role_guard_and_v2_no_anchor
pm_case_0094,微软CEO萨提亚·纳德拉宣布，其团队已成功开发出微流体冷却技术；该技术能将芯片最高温升降低65%,液冷数据中心,9028694,高温,v1_fallback,"{""anchor_terms"": [""高温""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""高温""], ""subject_name_hits"": [""高温""]}","[""高温""]",{},short_generic_theme,add_short_generic_direct_hit_guard_and_high_temp_v2_boundary
