标题,内容,发布日期,发布时间,news_id
全国最大电网侧独立储能示范项目全容量投运,【全国最大电网侧独立储能示范项目全容量投运】财联社1月2日电，据中国电建消息，近日，中国电建承建的全国最大电网侧独立储能示范项目——内蒙古包头威俊50万千瓦/300万千瓦时电网侧独立储能示范项目完成验收。项目投运后，单次最大可释放300万千瓦时清洁电力，相当于30万个家用10度电充电宝的总容量，将为我国大规模发展长时储能提供关键实践样本。,2026-01-02,07:55:00,d41d8cd98f00b204e9800998ecf8427e
中国“人造太阳”实验找到突破密度极限的方法,【中国“人造太阳”实验找到突破密度极限的方法】财联社1月2日电，中国科学院合肥物质科学研究院等离子体物理研究所科研团队1月2日宣布，有“人造太阳”之称的全超导托卡马克核聚变实验装置（EAST）实验证实托卡马克密度自由区的存在，找到突破密度极限的方法，为磁约束核聚变装置高密度运行提供了重要的物理依据。相关研究成果发表在国际学术期刊《科学进展》上。,2026-01-02,08:03:32,d41d8cd98f00b204e9800998ecf8427e
,财联社1月2日电，新加坡第四季度GDP同比增长5.7%，预估6.3%。,2026-01-02,08:04:54,d41d8cd98f00b204e9800998ecf8427e
马杜罗证实曾与特朗普通话10分钟 重申“要和平不要战争”,【马杜罗证实曾与特朗普通话10分钟 重申“要和平不要战争”】财联社1月2日电，据央视新闻，当地时间2026年1月1日，委内瑞拉总统马杜罗证实于2025年11月21日与美国总统特朗普通话，双方通话时长为10分钟。同时，马杜罗否认曾与特朗普进行第二次通话。马杜罗表示，此前与特朗普通话的气氛友好、相互尊重，但他也指出，美国随后采取的行动并不友善。马杜罗重申希望与美国人民保持和平与兄弟般的关系，不希望两国之间发生任何形式的军事对抗或战争行为，“不要战争，要和平”。,2026-01-02,08:34:58,d41d8cd98f00b204e9800998ecf8427e
全岛封关后首个小长假 海南迎旅游“开门红”,【全岛封关后首个小长假 海南迎旅游“开门红”】财联社1月2日电，2026年元旦假期不仅是新年的开端，也是海南全岛封关后迎来的首个小长假。去哪儿旅行数据显示，海南在全岛封关后迎来新年第一波流量，飞往海口、三亚的机票预订量增幅全国最高。在出入境方面，海口和三亚同样是全国入境机票量增长最快的两个城市，增幅分别超过3倍和5倍。环岛自驾成为游客热门选择。1月1日，三亚、海口自驾游热度分别同比增长81%和96%，位居全国最热门自驾游城市前两位。从酒店入住情况来看，最热门的目的地是三亚、海口、万宁、陵水、文昌。元旦假期首日，免税购物热潮更甚。三亚国际免税城、三亚海旅免税城、海口日月广场免税店的热度居高不下。旺盛的购物需求直接带动了周边住宿——海旅免税城周边酒店入住量同比增长1.5倍，海口日月广场免税店周边同比增长1.4倍，三亚国际免税城周边同比增长近1倍。 (海南日报),2026-01-02,08:45:48,d41d8cd98f00b204e9800998ecf8427e
海南自贸港进口“零关税”货物超4亿元,【海南自贸港进口“零关税”货物超4亿元】财联社1月2日电，据海关统计，海南自贸港封关运作以来，截至2025年12月31日进口“零关税”货物达4.2亿元；加工增值内销免关税货物超4723万元；新增外贸备案企业3265家，同比增长超2倍；2025年全年，新增外贸备案企业3万余家，同比增长超四成。,2026-01-02,08:56:41,d41d8cd98f00b204e9800998ecf8427e
,财联社1月2日电，韩国KOSPI指数开盘上涨0.2%。,2026-01-02,09:02:47,d41d8cd98f00b204e9800998ecf8427e
,财联社1月2日电，离岸人民币兑美元升破6.97，最高升至6.9678，创2023年5月以来新高。,2026-01-02,09:09:38,ceecc796823a82d706e4cf955cd472b5
恒生指数开盘涨0.34% 壁仞科技上市首日开盘涨82.14%,【恒生指数开盘涨0.34% 壁仞科技上市首日开盘涨82.14%】财联社1月2日电，香港恒生指数开盘涨0.34%，恒生科技指数涨0.58%。利弗莫尔证券显示，壁仞科技上市首日开盘报35.7港元，涨幅82.14%，招股价为19.6港元。,2026-01-02,09:21:23,bb11b160f42ba6441d4c2d28a707f813
港股新股壁仞科技上市首日大涨超80% 公开发售阶段获逾2347倍认购,【港股新股壁仞科技上市首日大涨超80% 公开发售阶段获逾2347倍认购】财联社1月2日电，利弗莫尔证券显示，截至发稿，壁仞科技(06082.HK)涨82.14%。根据公开消息，公开发售阶段获2347.53倍认购，国际配售阶段获25.95倍认购。此外，该公司是国内通用智能计算解决方案提供商，以自主研发的壁砺系列GPU产品为核心，为各行业提供算力基础设施。,2026-01-02,09:27:37,011ca7e44097f61c62d8078dae90736e
壁仞科技上市首日涨超110%,【壁仞科技上市首日涨超110%】财联社1月2日电，壁仞科技香港上市首日涨幅扩大至超110%，报41.48港元/股，招股价为19.6港元。,2026-01-02,09:35:32,8f5656ef6c7ddd79f69c60b6307b09c8
,财联社1月2日电，恒生科技指数涨幅扩大至1%。,2026-01-02,09:36:48,ceecc796823a82d706e4cf955cd472b5
,财联社1月2日电，香港恒生指数延续上涨，涨幅扩大至1%，现报25902.87点。,2026-01-02,09:40:57,ceecc796823a82d706e4cf955cd472b5
,财联社1月2日电，恒生科技指数涨幅扩大至2%。百度集团涨近6%。,2026-01-02,09:48:23,ceecc796823a82d706e4cf955cd472b5
长三角铁路1月1日发送旅客376.6万人次 创元旦假期运输单日客发新高,【长三角铁路1月1日发送旅客376.6万人次 创元旦假期运输单日客发新高】财联社1月2日电，2026年元旦假期第二日。从中国铁路上海局集团有限公司（简称“上铁集团”）获悉，当天，长三角铁路客流持续高位运行，当天预计发送旅客265万人次。在1月1日，长三角铁路发送旅客376.6万人次，同比增长约59.1%，创元旦假期运输单日客发新高。,2026-01-02,09:50:50,9b570380e28386ff256d92b6be2f474f
恒生科技指数涨幅扩大至3%,【恒生科技指数涨幅扩大至3%】财联社1月2日电，恒生科技指数延续上涨，涨幅扩大至3.0%，现报5681.26点。华虹半导体涨近8%，百度集团涨近7%。,2026-01-02,10:04:47,41ea4e00ca54b4f398968a2b8247f68c
,财联社1月2日电，韩国KOSPI指数涨幅扩大至1%。,2026-01-02,10:05:30,ceecc796823a82d706e4cf955cd472b5
上海市第十六届人民代表大会第四次会议将于2026年2月上旬召开,【上海市第十六届人民代表大会第四次会议将于2026年2月上旬召开】财联社1月2日电，上海市第十六届人民代表大会第四次会议将于2026年2月上旬召开。会议的建议议程有：听取和审议上海市人民政府工作报告；审查和批准上海市国民经济和社会发展第十五个五年规划纲要；审查和批准上海市2025年国民经济和社会发展计划执行情况与2026年国民经济和社会发展计划草案的报告，批准上海市2026年国民经济和社会发展计划；审查和批准上海市2025年预算执行情况和2026年预算草案的报告，批准上海市2026年市级预算；听取和审议上海市人民代表大会常务委员会工作报告；听取和审议上海市高级人民法院工作报告；听取和审议上海市人民检察院工作报告；其他。 (上观新闻),2026-01-02,10:14:33,8bc14fd4ae5f5dfd6b2eb4c0d43d2151
港股半导体股走强 华虹半导体涨近10%,【港股半导体股走强 华虹半导体涨近10%】财联社1月2日电，截至发稿，华虹半导体(01347.HK)涨9.83%、中芯国际(00981.HK)涨4.83%、芯智控股(02166.HK)涨4.76%。消息方面，华虹半导体发布多份公告表示，公司拟通过发行股份方式向华虹集团等4名交易对方购买其合计持有的华力微97.4988%股权，并拟向不超过35名符合条件的特定对象发行股票募集配套资金。,2026-01-02,10:17:00,4ef07119b94c182fcd5470996e51f504
集邦咨询：下调2026年全球笔电出货预估至年减5.4%,【集邦咨询：下调2026年全球笔电出货预估至年减5.4%】财联社1月2日电，根据集邦咨询最新调查，在整体经济复苏力道有限、消费行为趋于保守的背景下，快速上升的存储器价格正持续侵蚀笔电品牌的获利及定价弹性。因此，集邦咨询再度下调2026年全球笔电出货预估至年减5.4%，降至近1.73亿台，以反映品牌面对成本压力扩大，对库存、促销与产品配置采取的保守态度。,2026-01-02,10:26:04,85de5ee3975d28d01cdb5c9b9701fc83
,"财联社1月2日电，台股加权股价指数上涨1%至29,257.22点。",2026-01-02,10:38:12,ceecc796823a82d706e4cf955cd472b5
,财联社1月2日电，恒生指数延续上涨，涨幅扩大至2%.,2026-01-02,10:52:00,ceecc796823a82d706e4cf955cd472b5
,财联社1月2日电，现货黄金上涨1%至每盎司4358.61美元。,2026-01-02,10:55:55,ceecc796823a82d706e4cf955cd472b5
横琴口岸元旦通关14.7万人次 创历史新高,【横琴口岸元旦通关14.7万人次 创历史新高】财联社1月2日电，据珠海边检总站横琴边检站统计，1月1日当天，共查验出入境旅客14.7万人次，创下该口岸单日客流历史新高，较去年同比增长84%。其中，赴澳旅游的内地旅客超10万人次，占当天客流总量的71%。同时，查验出入境车辆超1.1万辆次，其中单牌车数量超7000辆次，占比约63%。,2026-01-02,11:19:27,259533f949ad658597062733e14d0271
,财联社1月2日电，新加坡基准股指上涨0.5%，创下4669.29点的历史新高。,2026-01-02,11:22:57,ceecc796823a82d706e4cf955cd472b5
,财联社1月2日电，现货白银向上触及73美元/盎司，日内上涨2.2%。,2026-01-02,11:26:04,ceecc796823a82d706e4cf955cd472b5
1月2日全国铁路预计发送旅客1260万人次,【1月2日全国铁路预计发送旅客1260万人次】财联社1月2日电，从中国国家铁路集团有限公司获悉，1月1日，全国铁路发送旅客1856万人次，运输安全平稳有序。1月2日，全国铁路预计发送旅客1260万人次，计划加开旅客列车785列。,2026-01-02,11:40:15,8c4f9ebf46820cfa94dab0b738559c40
