case_id,event_title,gold_subject,actual_decision,actual_primary,actual_related,miss_type,root_cause,fix_action,candidate_1_name,candidate_1_key,candidate_1_rerank_score,candidate_2_name,candidate_2_key,candidate_2_rerank_score,candidate_3_name,candidate_3_key,candidate_3_rerank_score,candidate_4_name,candidate_4_key,candidate_4_rerank_score,candidate_5_name,candidate_5_key,candidate_5_rerank_score
pm_case_0047,《中国国家原子能机构和法国原子能和替代能源委员会第十五个和平利用核能合作议定书》中提及将加强核基础研究、核技术应用、核聚变技术等合作,可控核聚变,MATCH,乌克兰重建,(none),unknown,role_guard_overstrict,review_role_guard_for_this_subject,,,0.8986,,,0.8645,,,0.7537,,,0.7487,,,0.7039
pm_case_0049,开展燃烧等离子体物理研究、实现产出能量大于消耗能量、演示聚变能发电……11月24日上午，在位于安徽合肥未来大科学城的紧凑型聚变能实验装置（BEST）主机大厅，中,可控核聚变,MATCH,首发经济大全,(none),unknown,matcher_recall_gap,gold_in_top5_but_not_primary_investigate_rerank,,,0.8448,,,0.8314,,,0.7644,,,0.7567,,,0.7553
pm_case_0055,据新华社，外交部发言人林剑12月1日表示，日本在口头上搪塞敷行，在行动上一意孤行，中方对此绝不接受,对日制裁,UNKNOWN,(none),(none),unknown,matcher_recall_gap,review_dense_sparse_recall_for_subject,,,0.6997,,,0.5888,,,0.5525,,,,,,
pm_case_0056,据媒体披露，中方已做好对日实质反制准备,对日制裁,HUMAN_REVIEW,(none),(none),human_review,profile_v2_too_narrow,expand_profile_v2_anchors_or_alias,,,0.7825,,,0.7534,,,0.6631,,,0.6094,,,0.6053
pm_case_0061,据央视新闻报道，当地时间10月30日中午，国家主席在韩国釜山同美国总统特朗普举行会晤,稀土永磁,MATCH,中美芬太尼合作,(none),unknown,matcher_recall_gap,gold_in_top5_but_not_primary_investigate_rerank,,,0.888,,,0.8741,,,0.7793,,,0.6953,,,0.5617
pm_case_0063,包钢股份公告称，根据公司2022年年度股东大会审议通过的稀土精矿价格调整机制及计算公式，公司拟将2025年第四季度稀土精矿关联交易价格调整为不含税26205元/,稀土永磁,HUMAN_REVIEW,(none),(none),human_review,profile_v2_too_narrow,expand_profile_v2_anchors_or_alias,,,0.9931,,,0.6736,,,0.6663,,,0.663,,,0.6577
pm_case_0064,商务部、海关总署发布公告2025年第56号，公布对部分稀土设备和原辅料相关物项实施出口管制的决定，根据《中华人民共和国出口管制法》《中华人民共和国对外贸易法》《,稀土永磁,MATCH,深海经济,(none),unknown,matcher_recall_gap,gold_in_top5_but_not_primary_investigate_rerank,,,1.3174,,,1.1435,,,0.9276,,,0.9167,,,0.878
pm_case_0065,浙江省十四届人大常委会第二十一次会议近日审议并通过《浙江省海洋经济高质量发展促进条例》（以下简称《条例》）,海洋经济,MATCH,深海经济,(none),unknown,neighbor_map_incomplete,align_marine_economy_vs_deepsea_economy,,,1.3486,,,0.9241,,,0.8828,,,0.7872,,,0.7809
pm_case_0066,10月24日，中共中央举行新闻发布会介绍和解读党的二十届四中全会精神,海洋经济,MATCH,深海经济,(none),unknown,matcher_recall_gap,investigate_why_gold_not_in_dense_or_sparse_recall,,,1.4104,,,0.8054,,,0.7861,,,0.7466,,,0.7299
pm_case_0067,深圳市海洋发展局8月28日下午联合招商局港口集团股份有限公司、中集海工智能创新中心等龙头企业，在2025深圳（国际）通用人工智能大会暨产业博览会“Agent＋场,海洋经济,MATCH,深海经济,(none),unknown,neighbor_map_incomplete,align_marine_economy_vs_deepsea_economy,,,1.1649,,,1.1059,,,1.072,,,0.8856,,,0.8631
pm_case_0068,国家发展改革委区域协调发展司副司长马维晨表示，按照中央财经委员会第六次会议部署，国家发展改革委正与相关部门一道着手“十五五”海洋经济发展规划以及相关领域专项规划,海洋经济,MATCH,深海经济,(none),unknown,neighbor_map_incomplete,align_marine_economy_vs_deepsea_economy,,,1.023,,,0.9276,,,0.9107,,,0.8629,,,0.8595
pm_case_0069,国家发展改革委区域协调发展司副司长马维晨表示，按照中央财经委员会第六次会议部署，国家发展改革委正与相关部门一道着手“十五五”海洋经济发展规划以及相关领域专项规划,海洋经济,MATCH,深海经济,(none),unknown,neighbor_map_incomplete,align_marine_economy_vs_deepsea_economy,,,1.023,,,0.9276,,,0.9107,,,0.8629,,,0.8595
pm_case_0071,消息面上，11月20-21日，2025·光刻胶及集成电路材料先进技术和产业应用研讨会将举行，主题“光刻突围 材聚绍兴”,光刻胶,MATCH,半导体设备,(none),unknown,matcher_recall_gap,gold_in_top5_but_not_primary_investigate_rerank,,,0.8115,,,0.7682,,,0.7681,,,0.6483,,,0.5948
pm_case_0072,11月20-21日，2025·光刻胶及集成电路材料先进技术和产业应用研讨会将举行，主题“光刻突围 材聚绍兴”,光刻胶,MATCH,半导体设备,(none),unknown,matcher_recall_gap,gold_in_top5_but_not_primary_investigate_rerank,,,0.8101,,,0.7755,,,0.7707,,,0.648,,,0.6018
pm_case_0075,据百川盈孚，因下游PCB行业需求持续增长，国内光引发剂多种牌号价格走高,光刻胶,MATCH,PCB印制电路板,(none),unknown,matcher_recall_gap,investigate_why_gold_not_in_dense_or_sparse_recall,,,0.8107,,,0.8017,,,0.7896,,,0.7315,,,0.7156
pm_case_0077,据“中国光谷”消息，光谷企业近日在半导体专用光刻胶领域实现重大突破:武汉太紫微光电科技有限公司推出的T150 A光刻胶产品，已通过半导体工艺量产验证，实现配方全,光刻胶,MATCH,半导体设备,(none),unknown,matcher_recall_gap,gold_in_top5_but_not_primary_investigate_rerank,,,1.1411,,,0.9442,,,0.9404,,,0.9376,,,0.8341
pm_case_0078,上交所公告，为了落实中国证监会《关于在科创板设置科创成长层 增强制度包容性适应性的意见》，进一步规范科技型企业适用科创板第五套上市标准，支持尚未形成一定收入规模,卫星互联,HUMAN_REVIEW,(none),(none),human_review,role_guard_overstrict,review_role_guard_threshold,,,0.9217,,,0.9033,,,0.8588,,,0.8417,,,0.8132
pm_case_0080,中国航天今年已完成近90次发射，刷新历史纪录，其中商业发射占比显著提升,卫星互联,UNKNOWN,(none),(none),unknown,matcher_recall_gap,review_dense_sparse_recall_for_subject,,,0.6263,,,0.5982,,,0.5631,,,0.5437,,,0.5304
pm_case_0081,蓝箭航天副总裁张静茹告诉《科创板日报》记者，蓝箭航天供应链600余家供应商覆盖全国90余城，民企占比近70%、国企30%,卫星互联,MATCH,蓝箭航天IPO,(none),unknown,matcher_recall_gap,investigate_why_gold_not_in_dense_or_sparse_recall,,,1.0063,,,0.6334,,,0.6277,,,0.6243,,,0.5874
pm_case_0082,在文昌国际航天城，年产1000颗卫星的超级工厂即将投产，可实现“卫星出厂即发射”的无缝衔接；目前20余家产业链上下游企业已签约落户，火箭研发、卫星制造、发射测控,卫星互联,HUMAN_REVIEW,(none),(none),human_review,profile_v2_too_narrow,expand_profile_v2_anchors_or_alias,,,0.9238,,,0.9086,,,0.8747,,,0.8141,,,0.7337
pm_case_0083,12月3日中午，朱雀三号遥一运载火箭在东风商业航天创新试验区发射升空，按程序完成了飞行任务，火箭二级进入预定轨道，火箭一子级回收失败,卫星互联,MATCH,蓝箭航天IPO,(none),unknown,matcher_recall_gap,gold_in_top5_but_not_primary_investigate_rerank,,,1.3309,,,1.2067,,,1.1978,,,1.1642,,,1.156
pm_case_0084,从中国航天科技集团一院获悉，由该院抓总研制的我国首艘火箭网系回收海上平台于近日被命名为“领航者”并成功交付，标志着该院在可重复使用运载火箭技术链条上完成了重要一,卫星互联,MATCH,SpaceX,(none),unknown,matcher_recall_gap,investigate_why_gold_not_in_dense_or_sparse_recall,,,1.0687,,,1.0305,,,1.0046,,,0.9987,,,0.993
pm_case_0085,据国家航天局消息，该局已于近期设立商业航天司，相关业务正在逐步开展，标志着我国商业航天产业迎来专职监管机构（新闻来源：央视新闻）,卫星互联,MATCH,太空旅游,(none),unknown,gold_alias_incomplete,add_satellite_internet_gold_alias_to_profile,,,1.4029,,,1.0105,,,0.9922,,,0.9911,,,0.9836
pm_case_0087,北京蓝箭航天朱雀三号运载火箭首飞计划已进入最后准备阶段，计划于本周六即11月29日首飞,卫星互联,MATCH,蓝箭航天IPO,(none),unknown,matcher_recall_gap,investigate_why_gold_not_in_dense_or_sparse_recall,,,1.2711,,,0.8519,,,0.8382,,,0.8235,,,0.5122
pm_case_0088,英伟达首席财务官表示，数据中心芯片需求较此前预测的5000亿美元有所增长,液冷数据中心,MATCH,人工智能硬件,(none),unknown,reasonable_human_review,no_fix_no_cooling_anchor_in_chip_demand_news,,,1.0766,,,0.9239,,,0.8895,,,0.8836,,,0.8752
pm_case_0091,第五届国际AIDC液冷供应链干人峰会暨·国际数据中心液冷市场趋势分析会将于12月18日-19日召开,液冷数据中心,MATCH,人工智能硬件,(none),unknown,matcher_recall_gap,gold_in_top5_but_not_primary_investigate_rerank,,,1.1286,,,0.9791,,,0.9552,,,0.9385,,,0.901
pm_case_0095,《科创板日报》15日讯，由于AI新平台Rubin与下一代Feynman平台功耗或高达2000W以上，现有散热方案无法应对，消息称英伟达要求供应商开发全新“微通道,液冷数据中心,HUMAN_REVIEW,(none),(none),human_review,reasonable_human_review,no_fix_missing_clear_anchor,,,1.0818,,,0.8382,,,0.7751,,,0.7544,,,0.7403
