case_id,gold_theme_name,primary_theme_name,related_theme_names,status
pm_case_0034,AI/AR眼镜,AR眼镜,AI大娱乐|人工智能+消费|东方头,exact_or_alias_primary
pm_case_0035,AI/AR眼镜,AR眼镜,端侧AI|AI大娱乐|人工智能+消费|2025年12月事件前瞻|2025年9月事件前瞻,exact_or_alias_primary
pm_case_0036,SpaceX,SpaceX,9060949|马斯克四大产业|军工,exact_or_alias_primary
pm_case_0037,SpaceX,导弹,巴基斯坦军事,unknown
pm_case_0038,SpaceX,SpaceX,马斯克四大产业|著名IP|精酿啤酒,exact_or_alias_primary
pm_case_0039,SpaceX,SpaceX,著名IP|马斯克四大产业,exact_or_alias_primary
pm_case_0040,SpaceX,9060949,SpaceX|马斯克四大产业|著名IP|摘帽|华为三折叠屏手机,alias_related
pm_case_0041,可控核聚变,可控核聚变,一带一路|摘帽|中美芬太尼合作|美好中国,exact_or_alias_primary
pm_case_0042,可控核聚变,可控核聚变,核电,exact_or_alias_primary
pm_case_0043,可控核聚变,可控核聚变,核电|风电,exact_or_alias_primary
pm_case_0044,可控核聚变,A股全球第一,哪吒汽车重组|央企市值管理|传媒|国企改革|工业智能体,unknown
pm_case_0045,可控核聚变,,,unknown
pm_case_0046,可控核聚变,可控核聚变,核电|A股全球第一|风电|新疆自贸区|中央汇金重仓股,exact_or_alias_primary
pm_case_0047,可控核聚变,可控核聚变,乌克兰重建|A股全球第一|中美芬太尼合作|一带一路,exact_or_alias_primary
pm_case_0048,可控核聚变,可控核聚变,核电|新凯来示波器|A股全球第一|柴油发电机组|东方头,exact_or_alias_primary
pm_case_0049,可控核聚变,首发经济大全,电力央企|一带一路|中美芬太尼合作|摘帽,unknown
pm_case_0050,可控核聚变,可控核聚变,新凯来示波器|充电桩|柴油发电机组|摘帽|一带一路,exact_or_alias_primary
pm_case_0051,对日制裁,对日制裁,出口管制|中美芬太尼合作|一带一路|雅江水电最新互动,exact_or_alias_primary
pm_case_0052,对日制裁,对日制裁,,exact_or_alias_primary
pm_case_0053,对日制裁,对日制裁,中美芬太尼合作|一带一路,exact_or_alias_primary
pm_case_0054,对日制裁,对日制裁,一带一路|中美芬太尼合作,exact_or_alias_primary
pm_case_0055,对日制裁,对日制裁,,exact_or_alias_primary
pm_case_0056,对日制裁,对日制裁,中美芬太尼合作|一带一路,exact_or_alias_primary
pm_case_0057,稀土永磁,稀土永磁,一带一路|中国星际之门|中美芬太尼合作,exact_or_alias_primary
pm_case_0058,稀土永磁,出口管制,稀土永磁|中美芬太尼合作|一带一路,exact_or_alias_primary
pm_case_0059,稀土永磁,出口管制,稀土永磁|一带一路|上海自贸区|中美芬太尼合作|风电,exact_or_alias_primary
pm_case_0060,稀土永磁,稀土永磁,小米手机|新能源车|军工|麦角硫因|一体化压铸,exact_or_alias_primary
pm_case_0061,稀土永磁,中美芬太尼合作,稀土永磁|2026年2月事件前瞻|军工|一带一路|芬太尼,alias_related
pm_case_0062,稀土永磁,稀土永磁,金融IT,exact_or_alias_primary
pm_case_0063,稀土永磁,稀土永磁,充电桩|雅江水电最新互动|海上风电|努比亚手机,exact_or_alias_primary
pm_case_0064,稀土永磁,出口管制,深海经济|稀土永磁|对日制裁|新疆自贸区|A股全球第一,exact_or_alias_primary
pm_case_0065,海洋经济,深海经济,海洋工程|新疆自贸区|乌克兰重建|旅游|A股全球第一,unknown
pm_case_0066,海洋经济,深海经济,中国资源循环集团|变压器|中东石油设施修复,unknown
pm_case_0067,海洋经济,深海经济,工业智能体|杭州七小龙|AI智能体|深圳|AI智能体Manus,unknown
pm_case_0068,海洋经济,深海经济,新疆自贸区|海洋工程|海上风电|风电|2025年11月事件前瞻,unknown
pm_case_0069,海洋经济,深海经济,海洋工程|新疆自贸区|海上风电|风电|2025年11月事件前瞻,unknown
pm_case_0070,光刻胶,光刻胶,泛亚洲贸易|光刻机|中美芬太尼合作|半导体设备|一带一路,exact_or_alias_primary
pm_case_0071,光刻胶,光刻胶,半导体设备|一体化压铸|水利工程,exact_or_alias_primary
pm_case_0072,光刻胶,光刻胶,半导体设备|一体化压铸|水利工程,exact_or_alias_primary
pm_case_0073,光刻胶,光刻胶,半导体设备|东方头,exact_or_alias_primary
pm_case_0074,光刻胶,光刻胶,半导体设备|半导体|芯片大全|ISO3级洁净室|一体化压铸,exact_or_alias_primary
pm_case_0075,光刻胶,PCB印制电路板,电子布Low-DK|卫生巾|谷歌AI供货商|苹果手机|风电,unknown
pm_case_0076,光刻胶,光刻胶,半导体设备|半导体|东方头,exact_or_alias_primary
pm_case_0077,光刻胶,光刻胶,半导体设备|半导体|光刻机|东方头|一带一路,exact_or_alias_primary
pm_case_0078,卫星互联,证券,雅江水电最新互动|东方头|一带一路|出版商|中美芬太尼合作,unknown
pm_case_0079,卫星互联,航天发射场,卫星互联网|9060949|生猪,alias_related
pm_case_0080,卫星互联,一带一路,中美芬太尼合作,unknown
pm_case_0081,卫星互联,航空发动机集团,SHEIN/希音IPO,unknown
pm_case_0082,卫星互联,SpaceX,卫星互联网|军工|风电,alias_related
pm_case_0083,卫星互联,9060949,卫星互联网|中美芬太尼合作|一带一路,alias_related
pm_case_0084,卫星互联,SpaceX,一带一路|东方头|中美芬太尼合作,unknown
pm_case_0085,卫星互联,太空旅游,,unknown
pm_case_0086,卫星互联,卫星互联网,算力排行榜|阿里云|人工智能硬件|数据中心|机器人训练场,exact_or_alias_primary
pm_case_0087,卫星互联,海上火箭回收,,unknown
pm_case_0088,液冷数据中心,人工智能硬件,英特尔|数据中心|字节算力|2025年报预增|存储芯片,alias_related
pm_case_0089,液冷数据中心,液冷数据中心,维谛技术|2025年报预增|人工智能硬件|服务器|阿里云,exact_or_alias_primary
pm_case_0090,液冷数据中心,液冷数据中心,谷歌AI供货商|ASIC芯片|电源|电子布Low-DK|华为芯片链,exact_or_alias_primary
pm_case_0091,液冷数据中心,液冷数据中心,人工智能硬件|数据中心|算力排行榜|AR眼镜|ASIC芯片,exact_or_alias_primary
pm_case_0092,液冷数据中心,液冷数据中心,2025年报预增|人工智能硬件|英伟达算力|芯片大全|中昊芯英,exact_or_alias_primary
pm_case_0093,液冷数据中心,液冷数据中心,中科院|人工智能硬件|服务器|CPU七大唯一|HBM存储,exact_or_alias_primary
pm_case_0094,液冷数据中心,液冷数据中心,华为芯片链|ASIC芯片|科技类重组|AR眼镜|信创,exact_or_alias_primary
pm_case_0095,液冷数据中心,英伟达MLCP,液冷数据中心|人工智能硬件|中科院|航空发动机集团|精酿啤酒,alias_related
pm_case_0096,AI智能体Manus,AI智能体Manus,AI智能体|DeepSeek|华为云码道|哪吒汽车重组|工业智能体,exact_or_alias_primary
pm_case_0097,AI智能体Manus,多模态大模型,AI智能体|AI智能体Manus|AI视频|华为云码道|关键软件,alias_related
pm_case_0098,AI智能体Manus,,,unknown
pm_case_0099,AI智能体Manus,,,unknown
pm_case_0100,AI智能体Manus,,,unknown
