case_id,event_title,gold_theme,wrong_subject_key,wrong_theme_name,source_profile_version,evidence_summary,hit_terms,hit_term_roles,relation_assessment,root_cause,fix_action
pm_case_0056,据媒体披露，中方已做好对日实质反制准备,对日制裁,9013587,传媒,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0061,据央视新闻报道，当地时间10月30日中午，国家主席在韩国釜山同美国总统特朗普举行会晤,稀土永磁,9048607,中美芬太尼合作,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0061,据央视新闻报道，当地时间10月30日中午，国家主席在韩国釜山同美国总统特朗普举行会晤,稀土永磁,9042899,芬太尼,v1_fallback,"{""anchor_terms"": [""芬太尼""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""芬太尼""], ""subject_name_hits"": [""芬太尼""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}","[""芬太尼""]","{""芬太尼"": ""main_anchor""}",wrong_related,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0064,商务部、海关总署发布公告2025年第56号，公布对部分稀土设备和原辅料相关物项实施出口管制的决定，根据《中华人民共和国出口管制法》《中华人民共和国对外贸易法》《,稀土永磁,9043698,深海经济,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0067,深圳市海洋发展局8月28日下午联合招商局港口集团股份有限公司、中集海工智能创新中心等龙头企业，在2025深圳（国际）通用人工智能大会暨产业博览会“Agent＋场,海洋经济,9050371,工业智能体,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0075,据百川盈孚，因下游PCB行业需求持续增长，国内光引发剂多种牌号价格走高,光刻胶,9018144,PCB印制电路板,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0079,12月26日7时26分，我国在海南商业航天发射场使用长征八号甲运载火箭，成功将卫星互联网低轨17组卫星发射升空，卫星顺利进入预定轨道，发射任务获得圆满成功,卫星互联,9060949,9060949,v1_fallback,"{""anchor_terms"": [""卫星互联网"", ""商业航天""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""卫星互联网""], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}","[""卫星互联网"", ""商业航天""]","{""商业航天"": ""main_anchor"", ""卫星互联网"": ""main_anchor""}",wrong_related,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0081,蓝箭航天副总裁张静茹告诉《科创板日报》记者，蓝箭航天供应链600余家供应商覆盖全国90余城，民企占比近70%、国企30%,卫星互联,9062142,蓝箭航天IPO,v2,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0083,12月3日中午，朱雀三号遥一运载火箭在东风商业航天创新试验区发射升空，按程序完成了飞行任务，火箭二级进入预定轨道，火箭一子级回收失败,卫星互联,9062142,蓝箭航天IPO,v2,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0085,据国家航天局消息，该局已于近期设立商业航天司，相关业务正在逐步开展，标志着我国商业航天产业迎来专职监管机构（新闻来源：央视新闻）,卫星互联,9063080,太空旅游,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0086,“智绘星空 胜算在天——太空数据中心建设工作推进会”召开，推进会由北京市科委、中关村管委会等单位组织召开,卫星互联,9037857,数据中心,v2,"{""anchor_terms"": [""数据中心""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""数据中心""], ""subject_name_hits"": [""数据中心""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}","[""数据中心""]","{""数据中心"": ""main_anchor""}",wrong_related,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0087,北京蓝箭航天朱雀三号运载火箭首飞计划已进入最后准备阶段，计划于本周六即11月29日首飞,卫星互联,9062142,蓝箭航天IPO,v2,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0088,英伟达首席财务官表示，数据中心芯片需求较此前预测的5000亿美元有所增长,液冷数据中心,9014001,人工智能硬件,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0088,英伟达首席财务官表示，数据中心芯片需求较此前预测的5000亿美元有所增长,液冷数据中心,9015778,存储芯片,v2,"{""anchor_terms"": [""存储芯片""], ""support_terms"": [""存储芯片""], ""conflict_terms"": [], ""theme_name_hits"": [""存储芯片""], ""subject_name_hits"": [""存储芯片""], ""role_guard_blocked"": false, ""role_guard_reasons"": []}","[""存储芯片"", ""固态硬盘"", ""2D平面技术"", ""3D堆叠技术"", ""存算一体技术"", ""新型非易失性存储"", ""个人电脑"", ""服务器"", ""移动设备"", ""U盘"", ""手机存储"", ""混合键合"", ""国产存储芯片""]","{""U盘"": ""support"", ""服务器"": ""support"", ""个人电脑"": ""support"", ""固态硬盘"": ""support"", ""存储芯片"": ""main_anchor"", ""手机存储"": ""support"", ""混合键合"": ""support"", ""移动设备"": ""support"", ""2D平面技术"": ""support"", ""3D堆叠技术"": ""support"", ""国产存储芯片"": ""support"", ""存算一体技术"": ""support"", ""新型非易失性存储"": ""support""}",wrong_related,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0090,根据12月15日左右的市场信息，谷歌新一代TPUv7因单芯片功耗飙升至980W，其机柜将采用100%全液冷架构，标志着液冷从可选方案升级为ASIC阵营的强制标配,液冷数据中心,9036559,ASIC芯片,v2,"{""anchor_terms"": [""ASIC"", ""芯片""], ""support_terms"": [], ""conflict_terms"": [], ""theme_name_hits"": [""ASIC"", ""芯片""], ""subject_name_hits"": [], ""role_guard_blocked"": false, ""role_guard_reasons"": []}","[""ASIC"", ""芯片""]","{""ASIC"": ""main_anchor"", ""芯片"": ""main_anchor""}",wrong_related,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
pm_case_0093,英伟达透露，Vera Rubin计算架构底部配备了8个Rubin CPX GPU、BlueField-4数据处理器、两颗Vera CPU以及4个Rubin封装，,液冷数据中心,9034134,中科院,v1_fallback,{},[],{},wrong_primary,profile_boundary_missing,rebuild_profile_v2_with_negative_terms
